"","Niveldeactividad","SonrisayRisa","Placeraltaintensidad","Impulsividad","Aprox","Timidez","Miedo","Malestar","Tristeza","Frustracin","Autotranquilizacion","controlInhibitorio","Placerbajaintensidad","Sensibilidadperceptual","Atencionfoc","distractibilidad"
"24",4.15,4.38,4.46,2.85,5.69,5.38,5.67,4.58,3.92,3.77,4.92,5.15,4.92,5.33,4,4.6
"25",4.23,4.54,4.69,3.85,5.23,4.46,4.5,3.92,4,3.38,5.08,5.46,5.54,4.42,5,4.8
"26",3.15,5.33,5.69,5,5.54,1.77,4.42,4.42,3.75,4.23,4.92,5.08,5.31,5.5,4.33,3.8
"28",4.46,5,5.33,4.38,5.27,2.85,4.17,2.92,3.08,3.31,5.08,5.17,5.38,3.67,4.67,4.8
"29",5.08,4.62,5.54,4.77,5.38,3.77,3.64,3.9,4.36,4.38,4.36,4.58,5.09,4.78,4.22,3.6
"30",4.62,4.85,4.62,4.08,4.62,2.54,4.58,4,4.42,3.38,4.77,5.15,5.08,5.17,4.75,4.6
"34",5.17,5.54,5.08,4.54,4.92,3.62,3.82,3.5,3.67,4.54,4.08,4.69,5.85,4.58,4.67,3.6
"35",5.15,4.54,5.46,4.77,5.38,2.77,3.33,4.42,4,4.92,4.23,3.92,4.46,4.75,2.89,3.4
"36",4.38,4.77,4.54,5.15,5.46,3.54,3.33,4.33,4.92,4.23,3.77,4,5.15,4.08,4,4
"37",4.58,4.38,5.69,5,4.62,3,4.83,3.42,5.17,5.08,5.23,4.46,5.23,4.75,5,4.4
"38",4.54,4.92,5.23,3.62,5.38,3.46,4.25,3.55,2.92,3.46,5.31,5.15,5.33,4.75,3.89,4.2
"39",5.62,4.62,6.31,5,5.77,3.23,5.27,4.5,5.08,4.62,4.08,5,5.69,5,4.22,3
"40",2.69,4.92,3.31,3.38,5.15,6.08,5.17,2.75,3.25,2.85,6.38,6.38,5.85,5.25,4.89,4.4
"41",4.33,4.69,4.15,4.54,5.92,4.92,4.92,5.25,4.17,4.92,4.15,4.38,4.46,4.17,3.78,3.8
"42",3.08,4.62,4.85,3,5.38,5.85,4.92,4.17,4.83,4.46,4,5.54,5.38,4.92,5.56,5.6
"43",4.31,4.46,3.69,3.62,5.69,4.23,5.42,3.5,3.58,3.15,5.69,5.23,5.23,5.08,4.44,4
"44",4.62,4.77,4.85,4.77,5.38,4.46,5.67,4.92,5,5.31,3.46,4.08,5.15,5.08,4.89,4.2
"45",4.54,3.77,5.42,4.08,4.62,4,4.5,5.08,4.5,4.77,3.85,3.46,4.46,4.67,3.56,3.6
"47",4.75,4.38,4.92,3.92,5.08,4.92,4.91,3.73,4.25,4.38,4.77,4.33,4.31,5.33,4.56,3
"48",3.67,4.17,4.38,4.77,5.31,3.08,4.18,3.36,4.73,4.15,5.23,5.15,5.77,5.83,4.67,3.8
"50",4,4.85,4.92,3.85,4.54,3.38,3.92,4.08,4.58,4,5.15,5.31,5.62,4.92,4.56,3.8
"51",4.67,4,5.33,4.45,6,4.08,4.5,4.55,4.91,4.69,4,4.85,4.83,6.2,4.67,4.4
"52",4.2,4.69,3.85,3.62,5.38,4.38,4,3.92,4.5,4,4.15,4.69,5.08,4.27,4.22,3.6
"53",5.36,5.85,5.25,4.23,5,2.77,3.82,4.4,3.25,3.15,4.58,4.69,5.77,5.91,5,4
"54",4.38,4.62,6.08,4.77,5.31,4.08,4.33,3.09,4.58,4.08,4.85,3.83,4.62,4.67,4.11,4.6
"55",4.08,4.75,4.85,3.69,5.08,4.17,5.17,5.33,5,4.38,4.85,4.46,5.54,5.4,5.44,3.8
"56",6.08,5.54,5.75,4.45,6.31,1.77,5.18,3.5,4.55,4.77,4.17,2.58,4.17,5.3,2.89,2.8
"57",5.58,5.23,6,4.46,5.15,3.83,3.42,3.25,3.58,4.23,5.15,4.77,5.58,4.08,4.67,3.2
"58",5.15,5.54,4.54,3.31,6.23,5.31,5.75,2.82,3.75,4.31,4.62,5.38,5.54,6.17,5.78,4.6
"59",4.08,5.15,3.69,4.54,5.08,1.69,4,4.64,3.27,3.42,5.31,5.42,5.69,5.27,5.56,4.2
"60",4.77,5.38,5.92,4.54,5.23,2.77,4.08,5.17,4.5,5.31,4.23,3.85,5.54,4.83,4,3
"61",5.25,4.3,5.55,4.45,6,4.45,3.45,3.9,5.08,4.83,4.82,5,5.82,4.82,4.5,5
"62",3.82,5.17,5.86,4.13,5.42,4,4,3.25,4.25,4.25,5.8,5.82,6.09,5,5.4,5.4
"63",4.54,4.85,5.38,4.69,5.31,4,4.17,3.92,4.17,4.31,5.15,5.23,4.67,4.83,4.11,3.4
"64",3.62,4.83,3.92,3.62,5,4.23,4.09,4.42,4,4.08,5.15,5.17,5.67,4.45,4.56,5
